,Player,Position,season,draft_score
488,Aleksi Heponiemi,C,2017,1.4828440207298723
489,Henri Jokiharju,D,2017,1.4827239071815492
490,Dan Bertram,RW/C,2005,1.4824671891083128
491,Phil Varone,C/LW,2009,1.4820381413309003
492,Matt Leitner,C,2009,1.4813141666536203
493,Yanick Riendeau,RW/C,2003,1.480749278681524
494,Daine Todd,D,2005,1.4780400173632324
495,Nicolas Meloche,D,2015,1.477748670002831
496,Jared Knight,C/LW,2010,1.4768423862628162
497,Akim Aliu,D/RW,2007,1.474460515509262
498,Kay Schweri,LW/RW,2015,1.4744261027183738
499,Mathieu Gagnon,D,2011,1.4742405510593746
500,Frédéric Allard,D,2016,1.4736984380077636
501,Jake Bean,D,2016,1.47344124449048
502,Conor Timmins,D,2017,1.4729903400174555
503,Victor Mete,D,2016,1.4723925591000884
504,Conor Garland,RW,2014,1.4720172251324681
505,Adam Janosik,D,2010,1.4717460688849568
506,Ryan Lomberg,LW,2013,1.4714386662834205
507,Calvin de Haan,D,2009,1.4687695377669416
508,Martin Necas,C/RW,2017,1.4669918324856068
509,Kyle Connor,LW,2015,1.4665584389677955
510,Samuel Carrier,D,2010,1.466456406691131
511,Jonathan Filewich,RW,2003,1.4630167942819532
512,Stanislav Lascek,RW,2004,1.4617417237868162
513,Pierre-Luc Lessard,D,2006,1.460281495120363
514,Steven Tarasuk,D,2008,1.4592768276400276
515,Mario Scalzo,D,2003,1.4592158966788138
516,Matt MacKenzie,D,2010,1.459076306584409
517,Patrick Khodorenko,C,2017,1.4586309631755041
518,Vladimir Tkachyov,LW,2014,1.4573996875100925
519,Jesse Lees,D,2013,1.4568291615341828
520,Beau Schmitz,D,2009,1.4564596548662474
521,Torey Krug,D,2009,1.454932856687144
522,Chris Clapperton,LW,2012,1.4547772729986912
523,Jordan Schmaltz,D,2012,1.454447065476242
524,David Noël,D,2017,1.45285601598479
525,Brycen Martin,D,2014,1.4523125543198554
526,Prab Rai,RW,2008,1.4508821952810025
527,Joe Hicketts,D,2014,1.4504637778160614
528,Scott Lehman,D,2004,1.4487140806125223
529,Brandon Gormley,D,2010,1.446358342924595
530,Paul Szczechura,C/RW,2004,1.4458016899574004
531,Zach Gallant,C,2017,1.4442094674948045
532,Austin Madaisky,D,2010,1.4438925967361569
533,Carl Grundström,LW,2016,1.44360654583681
534,Cody Donaghey,D,2014,1.4431645444841625
535,Dylan Quaile,D,2007,1.44205408512414
536,Jérémy Roy,D,2015,1.4413207993556236
537,Simon Lacroix,D,2007,1.4410666691934586
